stateAbbrev,state,voterRegistrationHomePage,registrationStatusCheck
AL,Alabama,https://sos.alabama.gov/alabama-votes/voter/register-to-vote,https://myinfo.alabamavotes.gov/VoterView/RegistrantSearch.do
AK,Alaska,https://voterregistration.alaska.gov/,https://myvoterinformation.alaska.gov/
AZ,Arizona,https://servicearizona.com/webapp/evoter/selectLanguage,https://voter.azsos.gov/VoterView/RegistrantSearch.do
AR,Arkansas,https://www.sos.arkansas.gov/elections/voter-information/voter-registration-information,https://www.voterview.ar-nova.org/VoterView/RegistrantSearch.do
CA,California,https://registertovote.ca.gov/,https://voterstatus.sos.ca.gov/
CO,Colorado,https://www.sos.state.co.us/voter/pages/pub/olvr/verifyNewVoter.xhtml,https://www.sos.state.co.us/voter/pages/pub/olvr/findVoterReg.xhtml
CT,Connecticut,https://voterregistration.ct.gov/OLVR/welcome.do,https://portaldir.ct.gov/sots/LookUp.aspx
DE,Delaware,https://ivote.de.gov/voterregterms.aspx,https://ivote.de.gov/voterlogin.aspx
DC,Florida,https://registertovoteflorida.gov/en/Registration/Index,https://registration.elections.myflorida.com/CheckVoterStatus
FL,Georgia,https://registertovote.sos.ga.gov/GAOLVR/welcometoga.do#no-back-button,https://www.mvp.sos.ga.gov/MVP/mvp.do
GA,Hawaii,https://olvr.hawaii.gov/register.aspx,https://elections.hawaii.gov/resources/county-election-divisions/
HI,Idaho,https://apps.idahovotes.gov/OnlineVoterRegistration/Home/SubmitWelcome,https://apps.idahovotes.gov/YourPollingPlace/AmIRegistered.aspx
ID,Illinois,https://ova.elections.il.gov/Step0.aspx,https://ova.elections.il.gov/RegistrationLookup.aspx
IL,Indiana,https://indianavoters.in.gov/,https://indianavoters.in.gov/
IN,Iowa,https://mymvd.iowadot.gov/Account/Login?ReturnUrl=%2fVoterRegistration,https://sos.iowa.gov/elections/voterreg/regtovote/search.aspx
IA,Kansas,https://www.kdor.ks.gov/apps/voterreg/secure/default.aspx,https://myvoteinfo.voteks.org/VoterView/RegistrantSearch.do
KS,Kentucky,https://vrsws.sos.ky.gov/ovrweb/,https://vrsws.sos.ky.gov/VIC/
KY,Louisiana,https://voterportal.sos.la.gov/VoterRegistration,https://voterportal.sos.la.gov/Home/VoterLogin
LA,Maine,https://www.maine.gov/sos/cec/elec/data/voterregcard2017.pdf,https://www1.maine.gov/portal/government/edemocracy/voter_lookup.php
ME,Maryland,https://voterservices.elections.maryland.gov/OnlineVoterRegistration/VoterType,https://voterservices.elections.maryland.gov/votersearch
MD,Massachusetts,https://www.sec.state.ma.us/OVR/Pages/CheckEligibility.aspx?&Action=Register,https://www.sec.state.ma.us/VoterRegistrationSearch/MyVoterRegStatus.aspx
MA,Michigan,https://www.michigan.gov/documents/MIVoterRegistration_97046_7.pdf,https://webapps.sos.state.mi.us/MVIC/
MI,Minnesota,https://mnvotes.sos.state.mn.us/VoterRegistration/VoterRegistrationMain.aspx,https://mnvotes.sos.state.mn.us/VoterStatus.aspx
MN,Mississippi,http://www.sos.ms.gov/Elections-Voting/Documents/Voter_Registration.pdf,https://www.msegov.com/sos/voter_registration/amiregistered/Search
